"GEO_ID","NAME","NAICS2017","NAICS2017_LABEL","SEX","SEX_LABEL","ETH_GROUP","ETH_GROUP_LABEL","RACE_GROUP","RACE_GROUP_LABEL","VET_GROUP","VET_GROUP_LABEL","YIBSZFI","YIBSZFI_LABEL","YEAR","FIRMPDEMP","RCPPDEMP","EMP","PAYANN","FIRMPDEMP_S","RCPPDEMP_S","EMP_S","PAYANN_S",
"Geographic identifier code","Geographic Area Name","2017 NAICS code","Meaning of NAICS Code","Sex code","Meaning of Sex code","Ethnicity code","Meaning of Ethnicity code","Race code","Meaning of Race code","Veteran code","Meaning of Veteran code","Years in business code","Meaning of Years in business code","Year","Number of employer firms","Sales, value of shipments, or revenue of employer firms ($1,000)","Number of employees","Annual payroll ($1,000)","Relative standard error of employer firms (%)","Relative standard error of sales, value of shipments, or revenue of employer firms (%)","Relative standard error of number of employees (%)","Relative standard error of annual payroll (%)",
"0100000US","United States","00","Total for all sectors","001","Total","001","Total","00","Total","001","Total","311","Firms with less than 2 years in business","2020","800822","584905358","3357286","130914942","0.5","2.8","3.3","2.4",
"0100000US","United States","00","Total for all sectors","001","Total","001","Total","00","Total","001","Total","318","Firms with 2 to 3 years in business","2020","742069","805219279","5110072","185669432","0.7","3.9","1.7","2.9",
"0100000US","United States","00","Total for all sectors","001","Total","001","Total","00","Total","001","Total","319","Firms with 4 to 5 years in business","2020","578527","752867102","4560220","176247774","1.1","5.9","2.8","3.9",
"0100000US","United States","00","Total for all sectors","001","Total","001","Total","00","Total","001","Total","321","Firms with 6 to 10 years in business","2020","978113","1855093626","9797303","451665935","0.7","3.9","1.5","1.3",
"0100000US","United States","00","Total for all sectors","001","Total","001","Total","00","Total","001","Total","322","Firms with 11 to 15 years in business","2020","760513","1737823211","8456583","422336567","0.7","3.1","2.4","3.6",
"0100000US","United States","00","Total for all sectors","001","Total","001","Total","00","Total","001","Total","323","Firms with 16 or more years in business","2020","1915210","33114347400","98082179","5980991772","0.3","0.6","0.4","0.6",
"0100000US","United States","00","Total for all sectors","002","Female","001","Total","00","Total","001","Total","311","Firms with less than 2 years in business","2020","197398","108536631","707570","25552220","1.8","6.7","4.9","6.8",
"0100000US","United States","00","Total for all sectors","002","Female","001","Total","00","Total","001","Total","318","Firms with 2 to 3 years in business","2020","187903","119329021","1042185","31761465","1.2","5.0","5.6","7.0",
"0100000US","United States","00","Total for all sectors","002","Female","001","Total","00","Total","001","Total","319","Firms with 4 to 5 years in business","2020","140714","105094145","937024","29046630","2.6","4.9","4.5","6.0",
"0100000US","United States","00","Total for all sectors","002","Female","001","Total","00","Total","001","Total","321","Firms with 6 to 10 years in business","2020","221820","245969907","1798502","71457458","1.4","9.6","3.4","4.6",
"0100000US","United States","00","Total for all sectors","002","Female","001","Total","00","Total","001","Total","322","Firms with 11 to 15 years in business","2020","164101","179921301","1384910","50074330","2.2","9.0","5.0","4.5",
"0100000US","United States","00","Total for all sectors","002","Female","001","Total","00","Total","001","Total","323","Firms with 16 or more years in business","2020","325421","1092369670","5026646","224200260","1.6","3.5","2.4","2.4",
"0100000US","United States","00","Total for all sectors","003","Male","001","Total","00","Total","001","Total","311","Firms with less than 2 years in business","2020","481791","379574497","1999063","83373303","0.8","3.9","3.9","4.1",
"0100000US","United States","00","Total for all sectors","003","Male","001","Total","00","Total","001","Total","318","Firms with 2 to 3 years in business","2020","438804","554059781","3126953","122530570","1.2","4.6","2.6","4.5",
"0100000US","United States","00","Total for all sectors","003","Male","001","Total","00","Total","001","Total","319","Firms with 4 to 5 years in business","2020","347538","486891121","2735274","109804889","1.4","9.7","4.7","5.6",
"0100000US","United States","00","Total for all sectors","003","Male","001","Total","00","Total","001","Total","321","Firms with 6 to 10 years in business","2020","593101","1149488738","5886492","274866411","0.9","4.4","2.2","3.2",
"0100000US","United States","00","Total for all sectors","003","Male","001","Total","00","Total","001","Total","322","Firms with 11 to 15 years in business","2020","462234","1019023072","4955998","243784220","1.3","4.8","3.6","5.0",
"0100000US","United States","00","Total for all sectors","003","Male","001","Total","00","Total","001","Total","323","Firms with 16 or more years in business","2020","1196737","7839094243","26689231","1415743065","0.6","2.2","1.6","1.3",
"0100000US","United States","00","Total for all sectors","004","Equally male/female","001","Total","00","Total","001","Total","311","Firms with less than 2 years in business","2020","114323","73417978","480945","17017847","1.5","8.7","8.8","10.9",
"0100000US","United States","00","Total for all sectors","004","Equally male/female","001","Total","00","Total","001","Total","318","Firms with 2 to 3 years in business","2020","102072","90567878","693645","19762177","3.0","9.2","4.8","6.2",
"0100000US","United States","00","Total for all sectors","004","Equally male/female","001","Total","00","Total","001","Total","319","Firms with 4 to 5 years in business","2020","78087","80976747","608117","18469763","2.4","8.2","6.6","8.9",
"0100000US","United States","00","Total for all sectors","004","Equally male/female","001","Total","00","Total","001","Total","321","Firms with 6 to 10 years in business","2020","138702","180389509","1153713","39500953","1.7","4.8","5.2","4.0",
